Date,Open,High,Low,Close,Volume,rsi7_1,stoch_1,rsi7_1_rsi,stoch_1_rsi,range,body,abs_body,upper_wick,lower_wick,body_pct,upper_wick_pct,lower_wick_pct,close_location_value,open_location_value,gap_up,gap_down,direction,bullish_close,bearish_close,ret_1,logret_1,ret_3,ret_5,velocity_1,velocity_3,acceleration_1,deceleration_1,body_velocity,body_acceleration,true_range,atr,atr_pct,hl_vol_proxy,ret_std,atr_vs_mean,range_vs_mean,vol_expand,vol_compress,narrow_range,wide_range,atr_change,vol_of_vol,rsi,adx,plus_di,minus_di,stoch_k,stoch_d,ema_fast,ema_slow,zlema_fast,zlema_slow,ema_spread,zlema_spread,ema_slope,zlema_slope,trend_strength,zero_lag_bias,linreg_slope,linreg_intercept,linreg_resid_std,reg_mid,reg_upper,reg_lower,reg_zscore,dominant_cycle_period,cycle_strength,cycle_phase_proxy,accumulation_proxy,distribution_proxy,auction_balance_proxy,auction_imbalance_proxy,doji,marubozu,inside_bar,outside_bar,bullish_engulfing,bearish_engulfing,hammer,shooting_star,pinbar_bull,pinbar_bear,fakey_up,fakey_down,bull_divergence_proxy,bear_divergence_proxy,momentum_divergence_score,sign_entropy,sign_persistence,ret_autocorr_1,hurst_proxy,bias_score,prob_up_next,prob_down_next,next_candle_bias,confidence_score,momentum_condition,volatility_condition,statistical_directional_bias,regime_trending,regime_mean_reverting,target_up_1atr,target_down_1atr
2021/01/04 16:16:25,3730.5,3732.25,3730.25,3732.25,1827,37.94802886379743,0.40100202633904014,50.48680975768636,0.4242786265100903,2.0,1.75,1.75,0.0,0.25,0.8749999999995625,0.0,0.1249999999999375,0.9999999999995,0.1249999999999375,1,0,1.0,1,0,0.0005361570940285443,0.00053601341316852,0.0003350308228355914,-0.0002678631219447114,2.0,1.25,1.75,-1.75,1.25,0.0,2.0,2.0036238792516805,0.0005368407473378471,0.00032190886098340966,0.0003633399041392573,0.9693255297114834,0.986436498149945,0,0,0,0,-0.0001391085260253888,0.00012815213941715342,38.14944265098514,31.529779827684496,18.373764368342762,38.23094487173233,37.20930232557794,17.84527764594051,34.47833491652131,37.16687196201277,33.28928161202707,32.83575577377684,-2.688537045491458,0.4535258382502292,1.0488879241325222,3.3958683463548205,-1.3418371947604453,0.22256462585143713,-0.8284121081533847,46.77177973888356,2.782690344016023,31.031949683969252,33.81464002798528,28.24925933995323,2.557773983842287,32.0,0.28512739758216943,0.4109578531788257,0,0,1.000088900582341e-12,0.9999999999989999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.794933994082398,0.9580420222262995,0.44,-0.10739798418335587,0.4465065203594858,0.5147767987970251,0.625925598293604,0.37407440170639605,1,0.2518511965872079,1,0,1.0,1,0,40.15306653023681,36.14581877173346
2021/01/04 16:19:06,3732.5,3733.0,3731.0,3731.0,8908,36.01910817135068,0.3405909318281483,48.40459736408008,0.38728719072169454,2.0,-1.5,1.5,0.5,0.0,0.749999999999625,0.249999999999875,0.0,0.0,0.749999999999625,1,0,-1.0,0,1,-0.00033491861477663587,-0.00033497471254170466,0.0002680965147452419,-0.000267952840300123,-1.25,1.0,-3.25,3.25,-3.25,-4.5,2.0,2.0033650307337036,0.0005369512277495854,0.00032184416868513086,0.00036289204884222683,0.9703581199851188,0.9876543209871665,0,0,0,0,-0.00012919017419255052,0.00011907902928830311,35.50362135575776,31.316346389158767,19.737629332556335,35.50474996001203,25.58139534883483,26.37240942888545,34.706176347462744,37.01566736144413,35.13128765672434,32.482530018382896,-2.3094910139813862,2.6487576383414435,0.2278414309414316,1.8420060446972712,-1.152805893359542,0.8673186665500627,-0.7777049058413285,45.80584628524812,2.9695984545381946,31.029453074262882,33.999051528801076,28.05985461972469,1.5066576676910184,32.0,0.28297103770725085,0.2862723479836166,0,0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7612370706318532,0.9580420222262995,0.44,-0.10686954586343272,0.44676772995503417,-2.03116240854116,0.11596969789195075,0.8840303021080492,-1,0.7680606042160985,-1,0,-1.0,1,0,37.50698638649146,33.500256325024054
2021/01/04 16:20:03,3730.75,3731.5,3729.0,3729.0,3458,33.171432921787314,0.11341331441474575,45.481526681175595,0.18503527727475116,2.5,-1.75,1.75,0.75,0.0,0.69999999999972,0.29999999999988,0.0,0.0,0.69999999999972,0,1,-1.0,0,1,-0.0005360493165371683,-0.0005361930423370878,-0.00033509818376786793,-0.0005360493165371683,-2.0,-1.25,-0.75,0.75,-0.25,3.0,2.5,2.0388389571098675,0.0005467522008876018,0.00040249395273263104,0.00036268594019500964,0.9885514956697632,1.2330456226874313,0,0,0,1,0.017707170601441558,0.003919943759442093,31.713749173213884,31.741103939584836,18.008911792489407,39.401860291639345,6.976744186045862,23.25581395348622,34.041192530962995,36.53367479887774,34.65293806925094,31.82386605734792,-2.4924822679147454,2.8290720119030226,-0.664983816499749,-0.47834958747339584,-1.2225008057756126,0.8826394787154922,-0.6803500217872199,43.934217705654014,2.7219314951805584,31.007567291696837,33.72949878687739,28.285635796516278,0.25944146014223735,32.0,0.3237337945402796,0.10767293593785966,0,0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0399189232516761,0.9506720926870659,0.45,-0.08992418875482505,0.45515870811966436,-2.025114857607182,0.11659113857711587,0.8834088614228841,-1,0.7668177228457682,-1,0,-1.0,1,0,33.75258813032375,29.674910216104017
2021/01/04 16:20:58,3728.75,3731.0,3728.5,3731.0,3584,38.31886864104071,0.5246859914659937,51.114228319179325,0.6192053098905161,2.5,2.25,2.25,0.0,0.25,0.89999999999964,0.0,0.09999999999996,0.9999999999996,0.09999999999996,0,1,1.0,1,0,0.000536336819522587,0.0005361930423369678,-0.00033491861477663587,0.0002680965147452419,2.0,-1.25,4.0,-4.0,4.0,4.25,2.5,2.07177903160202,0.0005552878669531009,0.0004025479099660835,0.00036670272382308014,1.0053916020414526,1.2315270935954525,0,0,0,1,0.01615629050900913,0.005164264389473854,38.75438081388188,32.278084221174296,16.45668201472459,37.729569059623444,28.947368421049585,20.5018359853101,35.088567704944964,36.73555716387811,35.69880049314598,32.81797960453212,-1.6469894589331489,2.8808208886138615,1.047375173981969,1.0458624238950378,-0.7949638614011871,0.8832821335326735,-0.5212942008573617,42.0417476229431,3.119192919817943,32.13715780665323,35.25635072647117,29.017964886835284,2.1214535866581654,32.0,0.33059114184334115,0.43946583313525744,0,0,8.000267115448878e-13,0.9999999999992,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.4498677338534997,0.9580420222262995,0.45,-0.09789441111881951,0.45120855622371936,1.4294007746071828,0.8068079323394222,0.19319206766057784,1,0.6136158646788443,1,0,1.0,1,0,40.8261598454839,36.68260178227986
2021/01/04 16:22:22,3731.25,3732.5,3730.0,3730.0,4430,36.821988187881594,0.5270180431881284,49.543023333696986,0.6742046694399353,2.5,-1.25,1.25,1.25,0.0,0.4999999999998,0.4999999999998,0.0,0.0,0.4999999999998,1,0,-1.0,0,1,-0.0002680246582685841,-0.0002680605832966431,-0.0002680246582685841,-6.701963675359579e-05,-1.0,-1.0,-3.0,3.0,-3.5,-7.5,2.5,2.102366243630447,0.0005636370626355084,0.0004023860816485049,0.0003627793334420266,1.021054946972253,1.230012300122396,0,0,0,1,0.014763742446401329,0.005895658332827843,36.71598630397912,31.84962162687869,20.155177707814936,34.524883355230486,18.918918918916873,18.281010508670786,35.45021628250811,36.733777994796384,36.194256217380314,33.03950916173011,-1.2835617122882752,3.154747055650205,0.3616485775631446,0.4954557242343327,-0.6105319261933929,0.9052511467555279,-0.4588985736003245,41.21583478141881,3.2856500571460527,32.496761883012645,35.782411940158696,29.211111825866592,1.2841368823769537,32.0,0.34802744156269216,0.34340558533514126,0,0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.745633876294135,0.9580420222262995,0.44,-0.12075896350818234,0.4399123154560333,-1.6797459823562912,0.1571291079382445,0.8428708920617555,-1,0.685741784123511,-1,0,-1.0,1,0,38.81835254760957,34.61362006034867
2021/01/04 16:25:02,3729.75,3730.75,3728.25,3728.25,8461,34.343759298560286,0.26941138462748315,47.01730914378308,0.4124503641818217,2.5,-1.5,1.5,1.0,0.0,0.59999999999976,0.39999999999984,0.0,0.0,0.59999999999976,0,1,-1.0,0,1,-0.0004691689008042843,-0.00046927899496954426,-0.0002011263073209424,-0.0010717395672851238,-1.75,-0.75,-0.75,0.75,-0.25,3.25,2.5,2.1307686547997005,0.0005715197893917253,0.0004025748940082207,0.0003619708345457792,1.0355321680567589,1.2285012285006247,0,0,0,1,0.013509735164034531,0.006348073578394385,33.4046929692267,32.003745399784854,18.46605070273723,37.49791482146661,0.0,15.955429113322163,34.995655546223354,36.43113390156278,35.95011856134903,32.91031074161721,-1.435478355339427,3.03980781973182,-0.4545607362847548,-0.24413765603128468,-0.6736903849722218,0.8909728717556734,-0.36260469923756256,39.66738805253916,3.0607393878427454,32.77789876702547,35.838638154868214,29.717159379182725,0.20478522434502375,32.0,0.34873895617024564,0.18735941432658387,0,0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4027818569552433,0.9506720926870659,0.45,-0.09914200812856734,0.45059077332212966,-1.6919757886979292,0.15551618137205184,0.8444838186279482,-1,0.6889676372558964,-1,0,-1.0,1,0,35.535461624026404,31.273924314427
2021/01/04 16:27:10,3728.0,3729.5,3727.0,3727.0,7965,32.68517316075153,0.09700485884732005,45.38286050934757,0.24119239881327378,2.5,-1.0,1.0,1.5,0.0,0.39999999999984,0.59999999999976,0.0,0.0,0.39999999999984,0,1,-1.0,0,1,-0.0003352779454167676,-0.0003353341636332789,-0.0010720986330742255,-0.0010720986330742255,-1.25,-4.0,0.5,-0.5,0.5,0.75,2.5,2.1571423223140074,0.0005787878514392291,0.0004027098685016477,0.0003623391805096993,1.0489013409792425,1.2269938650300725,0,0,0,1,0.012377536836248426,0.006619604636768533,31.23760364086222,32.49859119853866,16.937403742381502,38.532855904099414,0.0,6.3063063063056335,34.16053290058755,35.95899478695364,33.23249809612537,32.60867840861628,-1.7984618863660913,0.6238196875090907,-0.8351226456358063,-2.7176204652236606,-0.833724259990418,0.2813872826279149,-0.34477693961253447,38.966804071677366,3.026161970915778,32.41604221903921,35.44220418995499,29.389880248123433,-0.3894168882903466,32.0,0.30690935126364155,0.08523436597291152,0,0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4277033240162769,0.9506720926870659,0.46,-0.0878159793110319,0.45620453089726654,-2.1238370049286326,0.10680148705581813,0.8931985129441818,-1,0.7863970258883637,1,0,-1.0,1,0,33.39474596317623,29.08046131854821
2021/01/04 16:29:31,3726.75,3728.75,3726.25,3728.75,9025,37.16923582292451,0.5631137013986944,50.31208933213862,0.7576783141499459,2.5,2.0,2.0,0.0,0.5,0.79999999999968,0.0,0.19999999999992,0.9999999999996,0.19999999999992,0,1,1.0,1,0,0.00046954655218667263,0.00046943634969978643,-0.00033512064343166337,-6.704210244035114e-05,1.75,-1.25,3.0,-3.0,3.0,2.5,2.5,2.181632156434435,0.0005850840513401098,0.00040279089665026525,0.00036340973273862024,1.061235989947412,1.2254901960778306,0,0,0,1,0.011352906049405753,0.006763795433724547,37.364012498647966,33.15873076467737,15.55103969670704,37.834422731441414,27.77777777777469,9.25925925925824,34.87241725571209,36.08672366983494,34.29461822883458,33.6082495096143,-1.2143064141228521,0.6863687192202761,0.7118843551245391,1.062120132709211,-0.5566045634874145,0.30462741359351775,-0.282737770666027,38.34026882247775,3.2091704006633264,32.96825117982324,36.177421580486566,29.759080779159916,1.36975005064074,32.0,0.313783614577471,0.3739441079510725,0,0,8.000267115448878e-13,0.9999999999992,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.679619436271983,0.9506720926870659,0.46,-0.09139107781053088,0.45443125888200175,1.0477590963650072,0.74034435205311,0.25965564794689,1,0.48068870410622,1,0,1.0,1,0,39.5456446550824,35.182380342213534
2021/01/04 16:30:11,3729.0,3731.0,3728.5,3731.0,4767,42.37844150720327,1.0,55.26313060682859,1.0,2.5,2.0,2.0,0.0,0.5,0.79999999999968,0.0,0.19999999999992,0.9999999999996,0.19999999999992,1,0,1.0,1,0,0.0006034193764665741,0.0006032373921995016,0.0007376114799169109,0.0,2.25,2.75,0.5,-0.5,0.0,-3.0,2.5,2.2043727166891185,0.0005908262440871396,0.0004025479099660835,0.00036954633043368796,1.0726052721569357,1.223990208077736,0,0,0,1,0.010423645520448055,0.00681399803491479,44.242421989623125,32.46184256092302,21.58198768311526,34.769538619431565,52.77777777777192,26.851851851848878,36.95464052991454,36.82815078981568,38.91362551354235,35.9216731979126,0.1264897400988616,2.991952315629753,2.0822232742024553,4.61900728470777,0.057381285451938845,0.875760836866603,-0.07019920750384609,36.46603387846849,3.852359595324276,35.13224893589541,38.984608531219685,31.279889340571135,2.3648293541398986,32.0,0.31003843070853265,0.6980922142002721,0,0,8.000267115448878e-13,0.9999999999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5488041175741245,0.9580420222262995,0.47,-0.050492380263954174,0.47477524290056583,2.5911412008894184,0.930289261666234,0.06971073833376595,1,0.8605785233324681,1,0,1.0,0,0,46.44679470631225,42.038049272934
2021/01/04 16:31:21,3731.25,3731.25,3728.75,3728.75,4580,38.96816050884068,0.6790769278096463,51.703035439130815,0.7077615266427698,2.5,-2.5,2.5,0.0,0.0,0.9999999999996,0.0,0.0,0.0,0.9999999999996,1,0,-1.0,0,1,-0.0006030554811042865,-0.0006032373921995968,0.00046954655218667263,-0.00033512064343166337,-2.25,1.75,-4.5,4.5,-4.5,-4.5,2.5,2.2254889512113243,0.0005968458467881525,0.0004025209295411977,0.0003728019574284615,1.0830741671240793,1.2224938875299645,0,0,0,1,0.009579248718847078,0.006792686427782486,39.56352233321253,31.680353755227888,20.652658384425425,31.979659038739154,32.25806451612487,37.6045400238905,37.53439204175854,37.076820930124484,40.908251182880235,37.081362982928844,0.45757111163405284,3.826888199951391,0.5797515118439946,1.9946256693378857,0.2056047554784728,0.9378114587191746,0.044677813688666954,35.36943741250908,3.859784746765273,36.21831587259375,40.07810061935902,32.35853112582848,0.8666821286916055,32.0,0.29703964022640006,0.477596987077569,0,0,0.0,-1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-0.8464279259160787,0.9580420222262995,0.46,-0.07657253435931748,0.46178838637058883,-0.3135505563311193,0.42224832577120375,0.5777516742287963,-1,0.1555033484575925,-1,0,-1.0,0,0,41.78901128442386,37.33803338200121
